wannier90 format for mvmcdry
        10
       216
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1
   -3   -3   -3    1    1  -0.0000391614  -0.0000000000
   -3   -3   -3    1    2   0.0000024043  -0.0000000000
   -3   -3   -3    1    3  -0.0000296863  -0.0000000000
   -3   -3   -3    1    4   0.0000024043  -0.0000000000
   -3   -3   -3    1    5  -0.0000000000  -0.0000000000
   -3   -3   -3    1    6  -0.0000260801  -0.0000000000
   -3   -3   -3    1    7   0.0000110541  -0.0000000000
   -3   -3   -3    1    8  -0.0000231486   0.0000000000
   -3   -3   -3    1    9   0.0000110541   0.0000000000
   -3   -3   -3    1   10   0.0000000000   0.0000000000
   -3   -3   -3    2    1   0.0000024043   0.0000000000
   -3   -3   -3    2    2  -0.0000392921  -0.0000000000
   -3   -3   -3    2    3   0.0000147632  -0.0000000000
   -3   -3   -3    2    4   0.0000024084  -0.0000000000
   -3   -3   -3    2    5  -0.0000256216  -0.0000000000
   -3   -3   -3    2    6   0.0000110541  -0.0000000000
   -3   -3   -3    2    7  -0.0000261155  -0.0000000000
   -3   -3   -3    2    8   0.0000114950   0.0000000000
   -3   -3   -3    2    9   0.0000110418  -0.0000000000
   -3   -3   -3    2   10  -0.0000198726  -0.0000000000
   -3   -3   -3    3    1  -0.0000296863   0.0000000000
   -3   -3   -3    3    2   0.0000147632   0.0000000000
   -3   -3   -3    3    3   0.0000012689  -0.0000000000
   -3   -3   -3    3    4   0.0000147632  -0.0000000000
   -3   -3   -3    3    5   0.0000000000   0.0000000000
   -3   -3   -3    3    6  -0.0000231486   0.0000000000
   -3   -3   -3    3    7   0.0000114950   0.0000000000
   -3   -3   -3    3    8   0.0000499814   0.0000000000
   -3   -3   -3    3    9   0.0000114950  -0.0000000000
