wannier90 format for mvmcdry
        10
       216
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1
   -3   -3   -3    1    1   0.0306378703   0.0002251270
   -3   -3   -3    1    2   0.0306394387   0.0002252359
   -3   -3   -3    1    3   0.0308373444   0.0002243219
   -3   -3   -3    1    4   0.0306397630   0.0002251949
   -3   -3   -3    1    5   0.0308625901   0.0002242819
   -3   -3   -3    1    6   0.0473975162   0.0000854500
   -3   -3   -3    1    7   0.0473861725   0.0000850912
   -3   -3   -3    1    8   0.0475217613   0.0000844394
   -3   -3   -3    1    9   0.0473865700   0.0000852884
   -3   -3   -3    1   10   0.0475324349   0.0000847834
   -3   -3   -3    2    1   0.0306394390   0.0002252464
   -3   -3   -3    2    2   0.0306382421   0.0002251278
   -3   -3   -3    2    3   0.0308569904   0.0002242986
   -3   -3   -3    2    4   0.0306399666   0.0002252320
   -3   -3   -3    2    5   0.0308433211   0.0002243405
   -3   -3   -3    2    6   0.0473859829   0.0000851005
   -3   -3   -3    2    7   0.0473964363   0.0000850246
   -3   -3   -3    2    8   0.0475290186   0.0000843577
   -3   -3   -3    2    9   0.0473859725   0.0000850686
   -3   -3   -3    2   10   0.0475240309   0.0000844486
   -3   -3   -3    3    1   0.0308373441   0.0002243931
   -3   -3   -3    3    2   0.0308569904   0.0002243101
   -3   -3   -3    3    3   0.0310681675   0.0002234387
   -3   -3   -3    3    4   0.0308572801   0.0002243107
   -3   -3   -3    3    5   0.0310439262   0.0002234752
   -3   -3   -3    3    6   0.0475222742   0.0000844621
   -3   -3   -3    3    7   0.0475297027   0.0000843628
   -3   -3   -3    3    8   0.0476709232   0.0000837924
   -3   -3   -3    3    9   0.0475301139   0.0000845401
