wannier90 format for mvmcdry
         4
       216
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1
   -3   -3   -3    1    1   0.0122743460   0.0002763584
   -3   -3   -3    1    2   0.0122501974   0.0002766294
   -3   -3   -3    1    3   0.0132315798   0.0001657472
   -3   -3   -3    1    4   0.0131969646   0.0001648701
   -3   -3   -3    2    1   0.0122502442   0.0002768274
   -3   -3   -3    2    2   0.0122754643   0.0002763761
   -3   -3   -3    2    3   0.0131969293   0.0001648820
   -3   -3   -3    2    4   0.0132345503   0.0001663210
   -3   -3   -3    3    1   0.0132316374   0.0001657339
   -3   -3   -3    3    2   0.0131969678   0.0001647514
   -3   -3   -3    3    3   0.0122731077   0.0002796463
   -3   -3   -3    3    4   0.0122471819   0.0002796440
   -3   -3   -3    4    1   0.0131970527   0.0001648211
   -3   -3   -3    4    2   0.0132346165   0.0001661755
   -3   -3   -3    4    3   0.0122472019   0.0002796987
   -3   -3   -3    4    4   0.0122714332   0.0002793442
   -3   -3   -2    1    1   0.0252196380   0.0004341283
   -3   -3   -2    1    2   0.0256286877   0.0004379597
   -3   -3   -2    1    3   0.0261810948   0.0000168980
   -3   -3   -2    1    4   0.0262898664   0.0000123919
   -3   -3   -2    2    1   0.0256288633   0.0004369731
   -3   -3   -2    2    2   0.0261053121   0.0004428127
   -3   -3   -2    2    3   0.0262857796   0.0000119949
   -3   -3   -2    2    4   0.0264670395   0.0000080232
   -3   -3   -2    3    1   0.0257347344   0.0005128585
   -3   -3   -2    3    2   0.0263082943   0.0005146871
   -3   -3   -2    3    3   0.0252015789   0.0004333829
   -3   -3   -2    3    4   0.0256108492   0.0004371177
   -3   -3   -2    4    1   0.0263071310   0.0005148210
   -3   -3   -2    4    2   0.0270117749   0.0005215910
   -3   -3   -2    4    3   0.0256088310   0.0004372133
   -3   -3   -2    4    4   0.0260828593   0.0004423663
   -3   -3   -1    1    1   0.0266362980   0.0001372486
   -3   -3   -1    1    2   0.0266212113   0.0001368056
   -3   -3   -1    1    3   0.0290031301  -0.0001806944
   -3   -3   -1    1    4   0.0299752133  -0.0001838501
   -3   -3   -1    2    1   0.0266141684   0.0001360527
   -3   -3   -1    2    2   0.0264945789   0.0001334855
   -3   -3   -1    2    3   0.0299677765  -0.0001851320
   -3   -3   -1    2    4   0.0307570903  -0.0001841744
   -3   -3   -1    3    1   0.0250944312   0.0004914519
   -3   -3   -1    3    2   0.0256905056   0.0004939315
   -3   -3   -1    3    3   0.0265944701   0.0001384743
   -3   -3   -1    3    4   0.0265628212   0.0001350420
   -3   -3   -1    4    1   0.0256874969   0.0004932634
   -3   -3   -1    4    2   0.0264328380   0.0004959650
   -3   -3   -1    4    3   0.0265686789   0.0001362698
   -3   -3   -1    4    4   0.0264308108   0.0001303548
   -3   -3    0    1    1   0.0315272896  -0.0001480858
   -3   -3    0    1    2   0.0302811100  -0.0001973894
   -3   -3    0    1    3   0.0251170622   0.0002396782
   -3   -3    0    1    4   0.0252773811   0.0002399302
   -3   -3    0    2    1   0.0302810134  -0.0001975975
   -3   -3    0    2    2   0.0291614529  -0.0002443824
   -3   -3    0    2    3   0.0252749175   0.0002395094
   -3   -3    0    2    4   0.0253166199   0.0002394091
   -3   -3    0    3    1   0.0251170330   0.0002398577
   -3   -3    0    3    2   0.0252748938   0.0002400011
   -3   -3    0    3    3   0.0314905813  -0.0001472927
   -3   -3    0    3    4   0.0302329702  -0.0001977088
   -3   -3    0    4    1   0.0252772831   0.0002401987
   -3   -3    0    4    2   0.0253165163   0.0002399771
   -3   -3    0    4    3   0.0302328946  -0.0001977223
   -3   -3    0    4    4   0.0291020621  -0.0002456889
   -3   -3    1    1    1   0.0266362980   0.0001372486
   -3   -3    1    1    2   0.0266140749   0.0001356567
   -3   -3    1    1    3   0.0250943159   0.0004914785
   -3   -3    1    1    4   0.0256873206   0.0004933616
   -3   -3    1    2    1   0.0266213049   0.0001372016
   -3   -3    1    2    2   0.0264945789   0.0001334855
   -3   -3    1    2    3   0.0256904287   0.0004941928
   -3   -3    1    2    4   0.0264327057   0.0004962560
   -3   -3    1    3    1   0.0290032454  -0.0001807210
   -3   -3    1    3    2   0.0299678534  -0.0001853933
   -3   -3    1    3    3   0.0265944701   0.0001384743
   -3   -3    1    3    4   0.0265686388   0.0001361603
   -3   -3    1    4    1   0.0299753896  -0.0001839482
   -3   -3    1    4    2   0.0307572227  -0.0001844654
   -3   -3    1    4    3   0.0265628613   0.0001351514
   -3   -3    1    4    4   0.0264308108   0.0001303548
   -3   -3    2    1    1   0.0252196380   0.0004341283
   -3   -3    2    1    2   0.0256289599   0.0004371812
   -3   -3    2    1    3   0.0257347636   0.0005126790
   -3   -3    2    1    4   0.0263072290   0.0005145525
   -3   -3    2    2    1   0.0256285912   0.0004377516
   -3   -3    2    2    2   0.0261053121   0.0004428127
   -3   -3    2    2    3   0.0263083180   0.0005141955
   -3   -3    2    2    4   0.0270118784   0.0005210230
   -3   -3    2    3    1   0.0261810656   0.0000170775
   -3   -3    2    3    2   0.0262857558   0.0000124865
   -3   -3    2    3    3   0.0252015789   0.0004333829
   -3   -3    2    3    4   0.0256089066   0.0004372267
   -3   -3    2    4    1   0.0262897684   0.0000126604
   -3   -3    2    4    2   0.0264669360   0.0000085913
   -3   -3    2    4    3   0.0256107736   0.0004371042
   -3   -3    2    4    4   0.0260828593   0.0004423663
   -3   -3    3    1    1   0.0122743460   0.0002763584
   -3   -3    3    1    2   0.0122501974   0.0002766294
   -3   -3    3    1    3   0.0132315798   0.0001657472
   -3   -3    3    1    4   0.0131969646   0.0001648701
   -3   -3    3    2    1   0.0122502442   0.0002768274
   -3   -3    3    2    2   0.0122754643   0.0002763761
   -3   -3    3    2    3   0.0131969293   0.0001648820
