wannier90 format for mvmcdry
         3
       216
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1
   -3   -3   -3    1    1   0.0212773615   0.0001930401
   -3   -3   -3    1    2   0.0212936812   0.0001931969
   -3   -3   -3    1    3   0.0212933147   0.0001931902
   -3   -3   -3    2    1   0.0212936811   0.0001931907
   -3   -3   -3    2    2   0.0212770849   0.0001929612
   -3   -3   -3    2    3   0.0212931409   0.0001931513
   -3   -3   -3    3    1   0.0212933146   0.0001931843
   -3   -3   -3    3    2   0.0212931409   0.0001931451
   -3   -3   -3    3    3   0.0212763383   0.0001929486
   -3   -3   -2    1    1   0.0451017348   0.0003584559
   -3   -3   -2    1    2   0.0449349934   0.0003594253
   -3   -3   -2    1    3   0.0449335771   0.0003594118
   -3   -3   -2    2    1   0.0449349655   0.0003594507
   -3   -3   -2    2    2   0.0448170932   0.0003610836
   -3   -3   -2    2    3   0.0448178192   0.0003607224
   -3   -3   -2    3    1   0.0449335779   0.0003594118
   -3   -3   -2    3    2   0.0448178547   0.0003606886
   -3   -3   -2    3    3   0.0448143732   0.0003610359
   -3   -3   -1    1    1   0.0482003693   0.0002961012
   -3   -3   -1    1    2   0.0477255864   0.0003007383
   -3   -3   -1    1    3   0.0477216972   0.0003006796
   -3   -3   -1    2    1   0.0477255642   0.0003007260
   -3   -3   -1    2    2   0.0472069512   0.0003043486
   -3   -3   -1    2    3   0.0472474487   0.0003049748
   -3   -3   -1    3    1   0.0477216570   0.0003006666
   -3   -3   -1    3    2   0.0472474588   0.0003049611
   -3   -3   -1    3    3   0.0471996613   0.0003042466
   -3   -3    0    1    1   0.0509593319   0.0002654735
   -3   -3    0    1    2   0.0503943157   0.0002715521
   -3   -3    0    1    3   0.0503885339   0.0002714850
