wannier90 format for mvmcdry
         8
       216
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1
   -3   -3   -3    1    1   0.0003826852  -0.0000000000
   -3   -3   -3    1    2   0.0001730701   0.0000000002
   -3   -3   -3    1    3  -0.0001730701  -0.0000000001
   -3   -3   -3    1    4   0.0001730701   0.0000000001
   -3   -3   -3    1    5   0.0005253190   0.0000000002
   -3   -3   -3    1    6  -0.0001566488   0.0000000002
   -3   -3   -3    1    7   0.0001566488   0.0000000002
   -3   -3   -3    1    8  -0.0001566488  -0.0000000000
   -3   -3   -3    2    1   0.0001730701  -0.0000000002
   -3   -3   -3    2    2   0.0003826852  -0.0000000000
   -3   -3   -3    2    3   0.0001730702  -0.0000000002
   -3   -3   -3    2    4  -0.0001730702   0.0000000001
   -3   -3   -3    2    5   0.0001638330   0.0000000000
   -3   -3   -3    2    6   0.0000669339  -0.0000000002
   -3   -3   -3    2    7   0.0001421588   0.0000000000
   -3   -3   -3    2    8  -0.0001421588  -0.0000000000
   -3   -3   -3    3    1  -0.0001730701   0.0000000001
   -3   -3   -3    3    2   0.0001730702   0.0000000002
   -3   -3   -3    3    3   0.0003826852  -0.0000000000
   -3   -3   -3    3    4   0.0001730701   0.0000000001
   -3   -3   -3    3    5  -0.0001638330   0.0000000000
   -3   -3   -3    3    6   0.0001421588   0.0000000000
   -3   -3   -3    3    7   0.0000669339   0.0000000000
   -3   -3   -3    3    8   0.0001421588   0.0000000000
   -3   -3   -3    4    1   0.0001730701  -0.0000000001
   -3   -3   -3    4    2  -0.0001730702  -0.0000000001
   -3   -3   -3    4    3   0.0001730701  -0.0000000001
   -3   -3   -3    4    4   0.0003826852  -0.0000000000
   -3   -3   -3    4    5   0.0001638330  -0.0000000000
   -3   -3   -3    4    6  -0.0001421588  -0.0000000000
   -3   -3   -3    4    7   0.0001421588   0.0000000000
   -3   -3   -3    4    8   0.0000669339  -0.0000000001
   -3   -3   -3    5    1   0.0005253190  -0.0000000002
   -3   -3   -3    5    2   0.0001638330  -0.0000000000
   -3   -3   -3    5    3  -0.0001638330  -0.0000000000
   -3   -3   -3    5    4   0.0001638330   0.0000000000
   -3   -3   -3    5    5   0.0004381948  -0.0000000000
   -3   -3   -3    5    6  -0.0001527699   0.0000000005
   -3   -3   -3    5    7   0.0001527699  -0.0000000002
   -3   -3   -3    5    8  -0.0001527699   0.0000000004
