wannier90 format for mvmcdry
         8
       216
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1
   -3   -3   -3    1    1   0.0062987588   0.0000118463
   -3   -3   -3    1    2   0.0062352858   0.0000118003
   -3   -3   -3    1    3   0.0062343520   0.0000117929
   -3   -3   -3    1    4   0.0062348516   0.0000117967
   -3   -3   -3    1    5   0.0065347270   0.0000113043
   -3   -3   -3    1    6   0.0063660776   0.0000115079
   -3   -3   -3    1    7   0.0063695685   0.0000115235
   -3   -3   -3    1    8   0.0063675328   0.0000115144
   -3   -3   -3    2    1   0.0062352858   0.0000118069
   -3   -3   -3    2    2   0.0063045186   0.0000118855
   -3   -3   -3    2    3   0.0062361809   0.0000118153
   -3   -3   -3    2    4   0.0062361102   0.0000118207
   -3   -3   -3    2    5   0.0066483538   0.0000111017
   -3   -3   -3    2    6   0.0064950188   0.0000114419
   -3   -3   -3    2    7   0.0064958718   0.0000113855
   -3   -3   -3    2    8   0.0064944937   0.0000113810
   -3   -3   -3    3    1   0.0062343520   0.0000118000
   -3   -3   -3    3    2   0.0062361809   0.0000118129
   -3   -3   -3    3    3   0.0063040353   0.0000118752
   -3   -3   -3    3    4   0.0062363448   0.0000118079
   -3   -3   -3    3    5   0.0066484419   0.0000111002
   -3   -3   -3    3    6   0.0064942368   0.0000113732
   -3   -3   -3    3    7   0.0064932385   0.0000114360
   -3   -3   -3    3    8   0.0064950482   0.0000113751
   -3   -3   -3    4    1   0.0062348516   0.0000118036
   -3   -3   -3    4    2   0.0062361102   0.0000118139
   -3   -3   -3    4    3   0.0062363448   0.0000118147
   -3   -3   -3    4    4   0.0063043364   0.0000118806
   -3   -3   -3    4    5   0.0066484483   0.0000111013
   -3   -3   -3    4    6   0.0064937347   0.0000113739
   -3   -3   -3    4    7   0.0064964979   0.0000113854
   -3   -3   -3    4    8   0.0064938733   0.0000114379
   -3   -3   -3    5    1   0.0065347270   0.0000113074
   -3   -3   -3    5    2   0.0066483538   0.0000111027
   -3   -3   -3    5    3   0.0066484419   0.0000110994
   -3   -3   -3    5    4   0.0066484483   0.0000111012
   -3   -3   -3    5    5   0.0063661777   0.0000119278
   -3   -3   -3    5    6   0.0062153559   0.0000118159
   -3   -3   -3    5    7   0.0062150761   0.0000118205
   -3   -3   -3    5    8   0.0062150156   0.0000118174
   -3   -3   -3    6    1   0.0063660776   0.0000115063
   -3   -3   -3    6    2   0.0064950188   0.0000114369
   -3   -3   -3    6    3   0.0064942368   0.0000113675
   -3   -3   -3    6    4   0.0064937347   0.0000113712
   -3   -3   -3    6    5   0.0062153558   0.0000118127
   -3   -3   -3    6    6   0.0063742606   0.0000119243
   -3   -3   -3    6    7   0.0062095084   0.0000117943
   -3   -3   -3    6    8   0.0062065412   0.0000117662
   -3   -3   -3    7    1   0.0063695685   0.0000115226
   -3   -3   -3    7    2   0.0064958718   0.0000113824
   -3   -3   -3    7    3   0.0064932385   0.0000114311
   -3   -3   -3    7    4   0.0064964979   0.0000113790
   -3   -3   -3    7    5   0.0062150761   0.0000118138
   -3   -3   -3    7    6   0.0062095084   0.0000117809
   -3   -3   -3    7    7   0.0063735538   0.0000119296
   -3   -3   -3    7    8   0.0062122440   0.0000118078
   -3   -3   -3    8    1   0.0063675328   0.0000115132
   -3   -3   -3    8    2   0.0064944937   0.0000113739
   -3   -3   -3    8    3   0.0064950482   0.0000113734
   -3   -3   -3    8    4   0.0064938733   0.0000114329
   -3   -3   -3    8    5   0.0062150156   0.0000118124
   -3   -3   -3    8    6   0.0062065411   0.0000117897
   -3   -3   -3    8    7   0.0062122440   0.0000117841
   -3   -3   -3    8    8   0.0063733410   0.0000119246
   -3   -3   -2    1    1   0.0137555900   0.0000212692
   -3   -3   -2    1    2   0.0133874213   0.0000218014
   -3   -3   -2    1    3   0.0137111676   0.0000214467
   -3   -3   -2    1    4   0.0137128128   0.0000214539
   -3   -3   -2    1    5   0.0155957224   0.0000181145
   -3   -3   -2    1    6   0.0148619230   0.0000196065
   -3   -3   -2    1    7   0.0151072271   0.0000187781
   -3   -3   -2    1    8   0.0151063756   0.0000187957
   -3   -3   -2    2    1   0.0141518171   0.0000207023
   -3   -3   -2    2    2   0.0137336744   0.0000212274
   -3   -3   -2    2    3   0.0140236685   0.0000208404
   -3   -3   -2    2    4   0.0140280534   0.0000208561
   -3   -3   -2    2    5   0.0161405024   0.0000172218
   -3   -3   -2    2    6   0.0153679339   0.0000187590
   -3   -3   -2    2    7   0.0155812088   0.0000179230
   -3   -3   -2    2    8   0.0155823058   0.0000179590
   -3   -3   -2    3    1   0.0140449670   0.0000208822
   -3   -3   -2    3    2   0.0137114481   0.0000214508
   -3   -3   -2    3    3   0.0138938078   0.0000210977
   -3   -3   -2    3    4   0.0139498081   0.0000210728
   -3   -3   -2    3    5   0.0160227245   0.0000173401
   -3   -3   -2    3    6   0.0153528634   0.0000189619
   -3   -3   -2    3    7   0.0155951283   0.0000182517
   -3   -3   -2    3    8   0.0156232719   0.0000180350
   -3   -3   -2    4    1   0.0140479021   0.0000208884
   -3   -3   -2    4    2   0.0137147014   0.0000214600
   -3   -3   -2    4    3   0.0139502532   0.0000210531
   -3   -3   -2    4    4   0.0139000060   0.0000211148
   -3   -3   -2    4    5   0.0160256904   0.0000173247
   -3   -3   -2    4    6   0.0153559254   0.0000189620
   -3   -3   -2    4    7   0.0156268600   0.0000180068
   -3   -3   -2    4    8   0.0155970081   0.0000182570
   -3   -3   -2    5    1   0.0129779648   0.0000228666
   -3   -3   -2    5    2   0.0127406799   0.0000231024
   -3   -3   -2    5    3   0.0129874321   0.0000227735
   -3   -3   -2    5    4   0.0129893101   0.0000228040
   -3   -3   -2    5    5   0.0138889231   0.0000212499
   -3   -3   -2    5    6   0.0133367060   0.0000224454
   -3   -3   -2    5    7   0.0136602909   0.0000217817
   -3   -3   -2    5    8   0.0136578729   0.0000218054
   -3   -3   -2    6    1   0.0132789667   0.0000221515
